,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
118,GPU,14.0,75.0,123.0,3000.0,1090,AMD,2458.0,2458.0,153.6
119,GPU,16.0,100.0,314.0,7200.0,1227,NVIDIA,118.6,7589.0,237.2
120,GPU,8.0,115.0,392.0,17400.0,1110,NVIDIA,18980.0,18980.0,296.6
121,GPU,16.0,250.0,471.0,11800.0,1582,NVIDIA,168.3,10770.0,336.6
122,GPU,14.0,65.0,208.0,5000.0,931,AMD,2588.0,2588.0,161.8
123,GPU,14.0,185.0,232.0,5700.0,1100,AMD,5530.0,5530.0,345.6
124,GPU,7.0,100.0,158.0,6400.0,1327,AMD,9265.0,4632.0,289.5
125,GPU,16.0,100.0,314.0,7200.0,1278,NVIDIA,101.2,6480.0,202.5
126,GPU,14.0,40.0,132.0,3300.0,1303,NVIDIA,24.3,1555.0,48.61
127,GPU,12.0,115.0,445.0,10800.0,1215,NVIDIA,13270.0,6636.0,207.4
128,GPU,12.0,31.0,200.0,4700.0,1395,NVIDIA,5645.0,2822.0,88.2
129,GPU,14.0,15.0,210.0,4940.0,300,AMD,844.8,422.4,26.4
130,GPU,12.0,80.0,545.0,13600.0,735,NVIDIA,11980.0,5990.0,187.2
131,GPU,14.0,185.0,232.0,5700.0,1257,AMD,6129.0,6129.0,383.0
132,GPU,12.0,60.0,200.0,4700.0,1575,NVIDIA,7311.0,3656.0,114.2
133,GPU,14.0,150.0,232.0,5700.0,1168,AMD,5095.0,5095.0,318.5
134,GPU,14.0,150.0,232.0,5700.0,1120,AMD,5682.0,5682.0,355.1
135,GPU,14.0,40.0,132.0,3300.0,1329,NVIDIA,18.68,1196.0,37.37
136,GPU,12.0,250.0,754.0,18600.0,1350,NVIDIA,26900.0,13450.0,420.2
137,GPU,16.0,75.0,200.0,4400.0,1000,NVIDIA,59.72,3822.0,119.4
138,GPU,7.0,150.0,251.0,10300.0,1130,AMD,14380.0,7188.0,449.3
139,GPU,12.0,50.0,200.0,4700.0,1395,NVIDIA,5914.0,2957.0,92.4
140,GPU,16.0,250.0,471.0,11800.0,1506,NVIDIA,197.4,12630.0,394.8
141,GPU,16.0,100.0,314.0,7200.0,1114,NVIDIA,68.77,4401.0,137.5
142,GPU,14.0,15.0,210.0,4940.0,300,AMD,921.6,460.8,28.8
143,GPU,7.0,130.0,158.0,6400.0,1607,AMD,10390.0,5196.0,324.7
144,GPU,14.0,35.0,103.0,2200.0,925,AMD,1248.0,1248.0,78.02
145,GPU,16.0,75.0,314.0,7200.0,886,NVIDIA,89.12,5704.0,178.2
146,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
147,GPU,8.0,60.0,276.0,13250.0,817,NVIDIA,9846.0,9846.0,153.8
148,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.0,384.0,24.0
149,GPU,14.0,15.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
150,GPU,7.0,45.0,156.0,9800.0,300,AMD,3686.0,1843.0,115.2
151,GPU,12.0,31.0,200.0,4700.0,1035,NVIDIA,4570.0,2285.0,71.4
152,GPU,7.0,100.0,158.0,6400.0,1670,AMD,10390.0,5196.0,324.7
153,GPU,16.0,100.0,314.0,7200.0,1227,NVIDIA,68.71,4398.0,137.4
154,GPU,16.0,120.0,314.0,7200.0,1506,NVIDIA,61.49,3935.0,123.0
155,GPU,28.0,190.0,366.0,5000.0,970,AMD,3476.0,3476.0,217.3
156,GPU,14.0,100.0,208.0,5000.0,1063,AMD,3656.0,3656.0,228.5
157,GPU,14.0,75.0,232.0,5700.0,713,AMD,3892.0,3892.0,243.3
158,GPU,16.0,80.0,200.0,4400.0,1404,NVIDIA,66.8,4275.0,133.6
159,GPU,16.0,120.0,200.0,4400.0,1506,NVIDIA,68.36,4375.0,136.7
160,GPU,7.0,15.0,156.0,9800.0,400,AMD,3686.0,1843.0,115.2
161,GPU,16.0,250.0,471.0,11800.0,1025,NVIDIA,179.2,11470.0,358.3
162,GPU,14.0,50.0,103.0,2200.0,980,AMD,1121.0,1121.0,70.08
163,GPU,28.0,15.0,125.0,1200.0,200,AMD,691.2,691.2,345.6
164,GPU,14.0,185.0,232.0,5700.0,1257,AMD,6175.0,6175.0,385.9
165,GPU,12.0,90.0,445.0,10800.0,1410,NVIDIA,5699.0,2849.0,89.04
166,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
167,GPU,14.0,15.0,210.0,4940.0,300,AMD,1843.0,921.6,57.6
168,GPU,14.0,15.0,210.0,4940.0,300,AMD,1691.0,845.6,52.85
169,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1151.0,1151.0,71.94
170,GPU,12.0,80.0,445.0,10800.0,945,NVIDIA,10600.0,5299.0,165.6
171,GPU,7.0,150.0,251.0,10300.0,1035,AMD,11660.0,5829.0,364.3
172,GPU,14.0,75.0,123.0,3000.0,1090,AMD,2150.0,2150.0,134.4
173,GPU,14.0,47.0,132.0,3300.0,1266,NVIDIA,29.6,1894.0,59.2
174,GPU,12.0,125.0,284.0,6600.0,1530,NVIDIA,10050.0,5027.0,157.1
175,GPU,16.0,120.0,200.0,4400.0,1506,NVIDIA,68.36,4375.0,136.7
176,GPU,7.0,85.0,158.0,6400.0,1000,AMD,9574.0,4787.0,299.2
177,GPU,12.0,160.0,545.0,13600.0,1365,NVIDIA,12900.0,6451.0,201.6
178,GPU,14.0,10.0,74.0,1800.0,937,NVIDIA,12.46,797.2,24.91
179,GPU,16.0,100.0,314.0,7200.0,1557,NVIDIA,139.8,8945.0,279.5
180,GPU,8.0,320.0,628.0,28300.0,1440,NVIDIA,29770.0,29770.0,465.1
181,GPU,12.0,115.0,545.0,13600.0,1140,NVIDIA,14130.0,7066.0,220.8
182,GPU,12.0,175.0,445.0,10800.0,1470,NVIDIA,14360.0,7181.0,224.4
183,GPU,12.0,150.0,545.0,13600.0,1380,NVIDIA,18720.0,9362.0,292.6
184,GPU,14.0,65.0,123.0,3000.0,1090,AMD,2106.0,2106.0,131.6
185,GPU,14.0,65.0,123.0,3000.0,1175,AMD,2462.0,2462.0,153.9
186,GPU,28.0,100.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
187,GPU,28.0,190.0,366.0,5000.0,970,AMD,3973.0,3973.0,248.3
188,GPU,14.0,150.0,232.0,5700.0,1168,AMD,5259.0,5259.0,328.7
189,GPU,14.0,85.0,232.0,5700.0,926,AMD,4940.0,4940.0,308.7
190,GPU,28.0,250.0,366.0,5000.0,850,AMD,3482.0,3482.0,217.6
191,GPU,7.0,110.0,158.0,6400.0,1500,AMD,10390.0,5196.0,324.7
192,GPU,14.0,75.0,132.0,3300.0,1392,NVIDIA,36.43,2332.0,72.86
193,GPU,16.0,75.0,200.0,4400.0,1076,NVIDIA,47.36,3031.0,94.72
194,GPU,14.0,50.0,123.0,3000.0,1002,AMD,2460.0,2460.0,153.7
195,GPU,7.0,15.0,156.0,9800.0,400,AMD,2867.0,1434.0,89.6
196,GPU,12.0,80.0,545.0,13600.0,930,NVIDIA,11830.0,5914.0,184.8
197,GPU,16.0,75.0,200.0,4400.0,1291,NVIDIA,46.48,2974.0,92.95
198,GPU,14.0,15.0,210.0,4940.0,300,AMD,1691.0,845.6,52.85
