,Unnamed: 0,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
1880,4072,GPU,130.0,49.0,297.0,160.0,400,ATI,,,
1881,4073,GPU,14.0,60.0,123.0,3000.0,1019,AMD,1371.0,1371.0,85.68
1882,4074,GPU,90.0,,,,425,NVIDIA,,,
1883,4075,GPU,14.0,150.0,232.0,5700.0,1120,AMD,5834.0,5834.0,364.6
1884,4076,GPU,80.0,,230.0,330.0,525,ATI,,,
1885,4077,GPU,55.0,15.0,67.0,181.0,500,ATI,,40.0,
1886,4078,GPU,130.0,101.0,287.0,222.0,350,NVIDIA,,,
1887,4079,GPU,150.0,,142.0,63.0,250,NVIDIA,,,
1888,4080,GPU,65.0,10.0,86.0,210.0,530,NVIDIA,,20.8,
1889,4081,GPU,180.0,,115.0,30.0,144,ATI,,,
1890,4082,GPU,80.0,50.0,127.0,210.0,459,NVIDIA,,29.38,
1891,4083,GPU,55.0,15.0,67.0,181.0,500,ATI,,40.0,
1892,4084,GPU,28.0,150.0,212.0,2800.0,950,AMD,,2432.0,152.0
1893,4085,GPU,130.0,,287.0,222.0,350,NVIDIA,,,
1894,4086,GPU,110.0,,154.0,146.0,300,NVIDIA,,,
1895,4087,GPU,7.0,25.0,156.0,9800.0,300,AMD,3226.0,1613.0,100.8
1896,4088,GPU,65.0,90.0,240.0,505.0,650,NVIDIA,,156.0,
1897,4089,GPU,14.0,10.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
1898,4090,GPU,10.0,25.0,77.0,,300,Intel,5069.0,2534.0,633.6
1899,4091,GPU,40.0,35.0,116.0,585.0,700,NVIDIA,,268.8,22.4
1900,4092,GPU,180.0,,65.0,20.0,175,NVIDIA,,,
1901,4093,GPU,12.0,50.0,200.0,4700.0,1350,NVIDIA,6083.0,3041.0,95.04
1902,4094,GPU,150.0,60.0,218.0,117.0,412,ATI,,,
1903,4095,GPU,130.0,,76.0,60.0,324,ATI,,,
1904,4096,GPU,55.0,150.0,470.0,1400.0,602,NVIDIA,,462.3,57.79
1905,4097,GPU,130.0,,,90.0,325,Other,,,
1906,4098,GPU,28.0,274.0,352.0,4313.0,725,AMD,,2227.0,556.8
1907,4099,GPU,40.0,108.0,166.0,1040.0,850,AMD,,1360.0,
1908,4100,GPU,22.0,84.0,,,350,Intel,,384.0,96.0
1909,4101,GPU,80.0,40.0,127.0,210.0,500,NVIDIA,,38.4,
1910,4102,GPU,28.0,225.0,561.0,7080.0,706,NVIDIA,,3524.0,1175.0
1911,4103,GPU,28.0,33.0,118.0,1270.0,725,NVIDIA,,556.8,23.2
1912,4104,GPU,90.0,13.0,,,667,Intel,,,
1913,4105,GPU,90.0,49.0,196.0,278.0,450,NVIDIA,,,
1914,4106,GPU,55.0,105.0,196.0,505.0,650,NVIDIA,,208.0,
1915,4107,GPU,28.0,,123.0,1500.0,775,AMD,,1024.0,64.0
1916,4108,GPU,40.0,39.0,104.0,627.0,550,ATI,,352.0,
