,Unnamed: 0.1,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor
1579,1579,CPU,130.0,89.0,217.0,55.0,2790,Intel
1580,1580,CPU,90.0,115.0,109.0,125.0,3200,Intel
1581,1581,CPU,130.0,65.0,80.0,37.0,2000,AMD
1582,1582,CPU,65.0,65.0,143.0,291.0,1860,Intel
1583,1583,CPU,45.0,80.0,258.0,758.0,3100,AMD
1584,1584,CPU,22.0,54.0,177.0,1400.0,2900,Intel
1585,1585,CPU,32.0,65.0,131.0,504.0,2600,Intel
1587,1587,CPU,90.0,125.0,235.0,227.0,2600,AMD
1588,1588,CPU,45.0,4.0,96.0,47.0,1600,Intel
1589,1589,CPU,7.0,65.0,74.0,3800.0,3600,AMD
1590,1590,CPU,130.0,69.0,131.0,55.0,2600,Intel
1591,1591,CPU,12.0,15.0,210.0,4940.0,2100,AMD
1594,1594,CPU,22.0,47.0,264.0,1400.0,2600,Intel
1595,1595,CPU,130.0,35.0,193.0,106.0,2000,AMD
1596,1596,CPU,180.0,58.0,217.0,42.0,1500,Intel
1597,1597,CPU,14.0,15.0,210.0,4950.0,2300,AMD
1598,1598,CPU,45.0,82.0,296.0,774.0,2666,Intel
1599,1599,CPU,45.0,95.0,263.0,731.0,2800,Intel
1600,1600,CPU,180.0,72.0,217.0,42.0,2000,Intel
1602,1602,CPU,90.0,89.0,220.0,154.0,2400,AMD
1603,1603,CPU,65.0,75.0,143.0,291.0,2933,Intel
1608,1608,CPU,90.0,84.0,109.0,125.0,2667,Intel
1613,1613,CPU,130.0,97.0,237.0,286.0,3200,Intel
1614,1614,CPU,22.0,37.0,118.0,1400.0,2000,Intel
1619,1619,CPU,14.0,65.0,210.0,4950.0,3500,AMD
1620,1620,CPU,45.0,95.0,258.0,758.0,3000,AMD
1621,1621,CPU,7.0,155.0,74.0,3800.0,3500,AMD
1622,1622,CPU,90.0,88.0,112.0,125.0,2800,Intel
1624,1624,CPU,65.0,22.0,77.0,122.0,1800,AMD
1626,1626,CPU,65.0,65.0,126.0,154.0,2500,AMD
1628,1628,CPU,32.0,35.0,131.0,504.0,1900,Intel
1629,1629,CPU,32.0,65.0,216.0,1160.0,2500,Intel
1630,1630,CPU,130.0,30.0,80.0,44.0,1000,Intel
1631,1631,CPU,32.0,35.0,131.0,504.0,2200,Intel
1632,1632,CPU,130.0,82.0,193.0,106.0,1400,AMD
1633,1633,CPU,90.0,65.0,220.0,154.0,2200,AMD
1634,1634,CPU,45.0,125.0,346.0,904.0,3000,AMD
1635,1635,CPU,65.0,95.0,143.0,582.0,2400,Intel
1636,1636,CPU,45.0,35.0,107.0,410.0,2100,Intel
1638,1638,CPU,22.0,54.0,177.0,1400.0,2800,Intel
1639,1639,CPU,65.0,150.0,435.0,1328.0,3166,Intel
1640,1640,CPU,22.0,300.0,350.0,5000.0,1100,Intel
1641,1641,CPU,22.0,54.0,177.0,1400.0,3600,Intel
1642,1642,CPU,32.0,65.0,246.0,1178.0,3700,AMD
1644,1644,CPU,45.0,65.0,82.0,228.0,2933,Intel
1645,1645,CPU,32.0,45.0,246.0,1178.0,2500,AMD
1646,1646,CPU,180.0,66.0,150.0,37.0,1533,AMD
1647,1647,CPU,22.0,95.0,160.0,1400.0,1900,Intel
1648,1648,CPU,28.0,25.0,124.0,1200.0,2900,AMD
1649,1649,CPU,22.0,35.0,177.0,1400.0,2900,Intel
1650,1650,CPU,22.0,15.0,118.0,1400.0,1300,Intel
1651,1651,CPU,45.0,65.0,117.0,410.0,2800,AMD
1652,1652,CPU,130.0,82.0,193.0,106.0,1400,AMD
1655,1655,CPU,32.0,65.0,246.0,1178.0,3500,AMD
1656,1656,CPU,90.0,21.0,84.0,140.0,1800,Intel
1657,1657,CPU,90.0,89.0,156.0,154.0,2400,AMD
1658,1658,CPU,32.0,65.0,315.0,1200.0,2600,AMD
1659,1659,CPU,22.0,95.0,160.0,1400.0,2000,Intel
1660,1660,CPU,14.0,65.0,192.0,4800.0,3100,AMD
1661,1661,CPU,45.0,125.0,346.0,904.0,3500,AMD
1664,1664,CPU,32.0,95.0,239.0,1170.0,2800,Intel
1667,1667,CPU,90.0,62.0,84.0,63.0,1600,AMD
1668,1668,CPU,45.0,80.0,258.0,758.0,2800,AMD
1669,1669,CPU,45.0,65.0,117.0,410.0,3100,AMD
1671,1671,CPU,90.0,115.0,109.0,125.0,3400,Intel
1673,1673,CPU,45.0,80.0,263.0,731.0,1866,Intel
1674,1674,CPU,32.0,65.0,131.0,504.0,2700,Intel
1675,1675,CPU,130.0,89.0,144.0,105.0,2400,AMD
1676,1676,CPU,130.0,66.0,131.0,55.0,2667,Intel
1678,1678,CPU,32.0,115.0,316.0,2400.0,2300,AMD
1679,1679,CPU,32.0,115.0,316.0,2400.0,2400,AMD
1680,1680,CPU,22.0,130.0,160.0,1400.0,3700,Intel
1681,1681,CPU,65.0,95.0,285.0,450.0,2400,AMD
1682,1682,CPU,130.0,35.0,193.0,106.0,1600,AMD
1683,1683,CPU,65.0,95.0,285.0,450.0,2300,AMD
1684,1684,CPU,32.0,95.0,315.0,1200.0,4000,AMD
1685,1685,CPU,65.0,65.0,126.0,154.0,2800,AMD
1688,1688,CPU,32.0,73.0,81.0,382.0,3333,Intel
1690,1690,CPU,90.0,84.0,109.0,125.0,3200,Intel
1693,1693,CPU,130.0,73.0,146.0,55.0,2100,Intel
1696,1696,CPU,32.0,35.0,131.0,504.0,2700,Intel
1697,1697,CPU,32.0,65.0,246.0,1178.0,3600,AMD
1698,1698,CPU,22.0,88.0,177.0,1400.0,4000,Intel
1699,1699,CPU,90.0,84.0,109.0,125.0,3060,Intel
1700,1700,CPU,130.0,30.0,80.0,44.0,1000,Intel
1701,1701,CPU,7.0,35.0,156.0,9800.0,2800,AMD
1702,1702,CPU,7.0,280.0,74.0,3800.0,3700,AMD
1703,1703,CPU,90.0,84.0,109.0,125.0,3060,Intel
1704,1704,CPU,65.0,45.0,126.0,154.0,2300,AMD
1705,1705,CPU,45.0,130.0,107.0,820.0,3000,Intel
1706,1706,CPU,32.0,10.0,66.0,176.0,2133,Intel
1708,1708,CPU,14.0,65.0,192.0,4800.0,3200,AMD
1709,1709,CPU,180.0,63.0,150.0,37.0,1400,AMD
1710,1710,CPU,7.0,280.0,74.0,3800.0,2900,AMD
1711,1711,CPU,22.0,245.0,350.0,5000.0,1053,Intel
1714,1714,CPU,65.0,130.0,140.0,376.0,3400,Intel
1715,1715,CPU,32.0,100.0,228.0,1178.0,3000,AMD
1716,1716,CPU,180.0,61.0,217.0,42.0,1600,Intel
1718,1718,CPU,22.0,115.0,160.0,1400.0,2100,Intel
1719,1719,CPU,7.0,225.0,74.0,3800.0,2400,AMD
1720,1720,CPU,45.0,125.0,258.0,758.0,3000,AMD
1721,1721,CPU,22.0,80.0,160.0,1400.0,2400,Intel
1723,1723,CPU,90.0,89.0,115.0,105.0,2400,AMD
1724,1724,CPU,32.0,17.0,149.0,624.0,1600,Intel
1725,1725,CPU,65.0,130.0,143.0,582.0,2933,Intel
1727,1727,CPU,7.0,65.0,74.0,3800.0,3600,AMD
1728,1728,CPU,22.0,140.0,356.0,2600.0,3000,Intel
1729,1729,CPU,32.0,65.0,131.0,504.0,2500,Intel
1730,1730,CPU,14.0,51.0,150.0,1400.0,3300,Intel
1731,1731,CPU,45.0,3.0,26.0,47.0,600,Intel
1732,1732,CPU,130.0,110.0,146.0,55.0,3060,Intel
1734,1734,CPU,130.0,30.0,80.0,44.0,1200,Intel
1735,1735,CPU,130.0,25.0,144.0,69.0,1800,AMD
1736,1736,CPU,32.0,95.0,239.0,1170.0,2933,Intel
1737,1737,CPU,14.0,140.0,213.0,9600.0,3200,AMD
1738,1738,CPU,32.0,45.0,216.0,1160.0,2400,Intel
1739,1739,CPU,45.0,130.0,263.0,731.0,2666,Intel
1740,1740,CPU,45.0,65.0,82.0,228.0,2400,Intel
1742,1742,CPU,90.0,135.0,213.0,200.0,3000,Intel
1743,1743,CPU,32.0,95.0,216.0,1160.0,3100,Intel
1744,1744,CPU,65.0,27.0,90.0,151.0,1660,Intel
1746,1746,CPU,90.0,84.0,109.0,125.0,3000,Intel
1747,1747,CPU,90.0,84.0,109.0,169.0,3400,Intel
1748,1748,CPU,45.0,130.0,263.0,731.0,3200,Intel
1749,1749,CPU,45.0,65.0,82.0,228.0,2800,Intel
1751,1751,CPU,130.0,53.0,80.0,37.0,1600,AMD
1752,1752,CPU,32.0,4.0,246.0,1178.0,1000,AMD
1753,1753,CPU,130.0,89.0,217.0,55.0,2394,Intel
1754,1754,CPU,130.0,82.0,193.0,106.0,1600,AMD
1755,1755,CPU,90.0,84.0,109.0,125.0,2800,Intel
1756,1756,CPU,22.0,69.0,160.0,1400.0,3600,Intel
1757,1757,CPU,32.0,45.0,216.0,1160.0,2500,Intel
1758,1758,CPU,22.0,130.0,160.0,1400.0,3400,Intel
1760,1760,CPU,14.0,35.0,192.0,4800.0,3400,AMD
1761,1761,CPU,45.0,1.0,65.0,140.0,800,Intel
1762,1762,CPU,32.0,17.0,131.0,504.0,1100,Intel
1763,1763,CPU,32.0,130.0,239.0,1170.0,3333,Intel
1764,1764,CPU,65.0,84.0,109.0,125.0,3200,Intel
1766,1766,CPU,65.0,35.0,77.0,105.0,2200,Intel
1768,1768,CPU,130.0,68.0,101.0,63.0,2167,AMD
1771,1771,CPU,32.0,25.0,315.0,1200.0,1900,AMD
1773,1773,CPU,7.0,35.0,156.0,9800.0,2900,AMD
1774,1774,CPU,90.0,35.0,125.0,114.0,2400,AMD
1775,1775,CPU,32.0,35.0,131.0,504.0,1600,Intel
1778,1778,CPU,22.0,47.0,264.0,1400.0,2400,Intel
1780,1780,CPU,45.0,10.0,107.0,410.0,1300,Intel
1781,1781,CPU,90.0,130.0,206.0,169.0,2800,Intel
1782,1782,CPU,45.0,3.0,26.0,47.0,1000,Intel
1785,1785,CPU,32.0,35.0,149.0,624.0,2100,Intel
1787,1787,CPU,130.0,60.0,80.0,37.0,1667,AMD
1790,1790,CPU,45.0,80.0,258.0,758.0,3300,AMD
1791,1791,CPU,32.0,35.0,81.0,384.0,1877,Intel
1792,1792,CPU,45.0,8.0,96.0,47.0,1600,Intel
1793,1793,CPU,90.0,84.0,109.0,125.0,2660,Intel
1795,1795,CPU,22.0,35.0,118.0,1400.0,2400,Intel
1796,1796,CPU,32.0,95.0,315.0,1200.0,3500,AMD
1797,1797,CPU,45.0,65.0,117.0,410.0,3600,AMD
1798,1798,CPU,32.0,85.0,315.0,2400.0,1800,AMD
1799,1799,CPU,130.0,29.0,80.0,44.0,1133,Intel
1800,1800,CPU,65.0,130.0,140.0,376.0,2800,Intel
1801,1801,CPU,90.0,115.0,109.0,169.0,3733,Intel
1802,1802,CPU,45.0,2.0,65.0,140.0,1600,Intel
1804,1804,CPU,65.0,45.0,77.0,122.0,2000,AMD
1808,1808,CPU,45.0,80.0,263.0,731.0,2400,Intel
1809,1809,CPU,45.0,136.0,107.0,820.0,3200,Intel
1810,1810,CPU,130.0,30.0,193.0,106.0,1400,AMD
1811,1811,CPU,45.0,3.0,26.0,47.0,1300,Intel
1812,1812,CPU,32.0,35.0,228.0,1178.0,1600,AMD
1815,1815,CPU,32.0,35.0,81.0,384.0,2677,Intel
1816,1816,CPU,65.0,65.0,126.0,154.0,2900,AMD
1818,1818,CPU,130.0,62.0,101.0,63.0,2000,AMD
1820,1820,CPU,45.0,95.0,258.0,758.0,2800,AMD
1821,1821,CPU,7.0,120.0,74.0,3800.0,2800,AMD
1822,1822,CPU,65.0,45.0,126.0,154.0,1900,AMD
1823,1823,CPU,22.0,84.0,177.0,1400.0,3500,Intel
1824,1824,CPU,65.0,130.0,140.0,376.0,3460,Intel
1825,1825,CPU,22.0,37.0,264.0,1400.0,2300,Intel
1826,1826,CPU,130.0,62.0,144.0,69.0,1800,AMD
1827,1827,CPU,90.0,135.0,169.0,178.0,3000,Intel
1828,1828,CPU,32.0,35.0,149.0,624.0,2400,Intel
1830,1830,CPU,65.0,65.0,126.0,154.0,2800,AMD
1831,1831,CPU,32.0,35.0,246.0,1178.0,2700,AMD
1836,1836,CPU,65.0,65.0,126.0,154.0,2600,AMD
1837,1837,CPU,32.0,15.0,246.0,1178.0,1400,AMD
1839,1839,CPU,32.0,35.0,149.0,624.0,2200,Intel
1840,1840,CPU,65.0,75.0,143.0,291.0,3000,Intel
1841,1841,CPU,32.0,100.0,228.0,1178.0,3000,AMD
1842,1842,CPU,130.0,62.0,80.0,37.0,1992,AMD
1844,1844,CPU,14.0,95.0,192.0,4800.0,3600,AMD
1845,1845,CPU,90.0,84.0,109.0,125.0,2933,Intel
1847,1847,CPU,45.0,300.0,684.0,2300.0,1200,Intel
1848,1848,CPU,65.0,8.0,77.0,122.0,1000,AMD
1849,1849,CPU,32.0,35.0,81.0,382.0,2667,Intel
1850,1850,CPU,130.0,89.0,144.0,69.0,2200,AMD
1851,1851,CPU,14.0,51.0,150.0,1400.0,3900,Intel
1852,1852,CPU,65.0,35.0,143.0,293.0,2400,Intel
1853,1853,CPU,32.0,65.0,228.0,1178.0,2500,AMD
1854,1854,CPU,65.0,35.0,143.0,293.0,2000,Intel
1856,1856,CPU,130.0,70.0,131.0,55.0,3067,Intel
1857,1857,CPU,7.0,54.0,156.0,9800.0,2900,AMD
1858,1858,CPU,12.0,65.0,192.0,4800.0,3600,AMD
1859,1859,CPU,130.0,92.0,146.0,55.0,2200,Intel
1860,1860,CPU,65.0,65.0,77.0,105.0,2200,Intel
1861,1861,CPU,32.0,65.0,131.0,504.0,2600,Intel
1862,1862,CPU,65.0,95.0,285.0,450.0,2500,AMD
1863,1863,CPU,180.0,72.0,217.0,42.0,2000,Intel
1865,1865,CPU,65.0,65.0,126.0,154.0,2300,AMD
1866,1866,CPU,65.0,65.0,77.0,105.0,2400,Intel
1867,1867,CPU,65.0,95.0,285.0,450.0,2300,AMD
1868,1868,CPU,130.0,89.0,193.0,106.0,2000,AMD
1872,1872,CPU,45.0,95.0,169.0,300.0,3100,AMD
1874,1874,CPU,32.0,35.0,246.0,1178.0,2500,AMD
1876,1876,CPU,32.0,95.0,239.0,1170.0,3200,Intel
1877,1877,CPU,45.0,2.0,26.0,47.0,1100,Intel
1879,1879,CPU,14.0,170.0,213.0,4800.0,2400,AMD
1880,1880,CPU,22.0,45.0,160.0,1400.0,2700,Intel
1881,1881,CPU,130.0,62.0,101.0,63.0,2200,AMD
1882,1882,CPU,180.0,60.0,150.0,63.0,1333,AMD
1884,1884,CPU,22.0,54.0,177.0,1400.0,2400,Intel
1885,1885,CPU,22.0,300.0,350.0,5000.0,1100,Intel
1886,1886,CPU,65.0,65.0,118.0,221.0,2200,AMD
1888,1888,CPU,32.0,80.0,216.0,1160.0,3100,Intel
1889,1889,CPU,32.0,65.0,246.0,1178.0,3200,AMD
1890,1890,CPU,45.0,95.0,258.0,758.0,2800,AMD
1891,1891,CPU,45.0,130.0,263.0,731.0,2666,Intel
1892,1892,CPU,22.0,130.0,257.0,1860.0,3700,Intel
1894,1894,CPU,45.0,80.0,263.0,731.0,2000,Intel
1896,1896,CPU,7.0,280.0,74.0,3800.0,3500,AMD
1897,1897,CPU,7.0,280.0,74.0,3800.0,4000,AMD
1903,1903,CPU,90.0,125.0,230.0,227.0,3200,AMD
1905,1905,CPU,65.0,130.0,143.0,582.0,3000,Intel
1906,1906,CPU,45.0,65.0,107.0,410.0,2667,Intel
1908,1908,CPU,130.0,82.0,193.0,106.0,1800,AMD
1909,1909,CPU,90.0,45.0,230.0,227.0,2200,AMD
1910,1910,CPU,130.0,89.0,144.0,69.0,2200,AMD
1911,1911,CPU,45.0,95.0,296.0,774.0,2800,Intel
1912,1912,CPU,12.0,95.0,192.0,4800.0,3600,AMD
1913,1913,CPU,32.0,17.0,246.0,1178.0,2100,AMD
1914,1914,CPU,180.0,52.0,217.0,42.0,1300,Intel
1918,1918,CPU,65.0,140.0,285.0,450.0,2600,AMD
1919,1919,CPU,90.0,89.0,220.0,154.0,2000,AMD
1920,1920,CPU,14.0,45.0,210.0,4950.0,3250,AMD
1921,1921,CPU,90.0,35.0,125.0,114.0,1800,AMD
1922,1922,CPU,32.0,80.0,239.0,1170.0,2266,Intel
1926,1926,CPU,45.0,45.0,117.0,234.0,2400,AMD
1928,1928,CPU,130.0,85.0,193.0,106.0,1400,AMD
1929,1929,CPU,45.0,65.0,117.0,410.0,2700,AMD
1930,1930,CPU,65.0,65.0,111.0,167.0,2200,Intel
1931,1931,CPU,14.0,170.0,213.0,4800.0,2000,AMD
1932,1932,CPU,90.0,59.0,84.0,69.0,2200,AMD
1933,1933,CPU,180.0,58.0,217.0,42.0,1500,Intel
1934,1934,CPU,45.0,60.0,263.0,731.0,2400,Intel
1936,1936,CPU,65.0,95.0,285.0,450.0,2400,AMD
1937,1937,CPU,22.0,37.0,118.0,1400.0,2300,Intel
1938,1938,CPU,32.0,15.0,246.0,1178.0,1500,AMD
1939,1939,CPU,90.0,65.0,220.0,154.0,2600,AMD
1940,1940,CPU,14.0,35.0,192.0,4800.0,3500,AMD
1941,1941,CPU,32.0,95.0,216.0,1160.0,3000,Intel
1942,1942,CPU,130.0,73.0,146.0,55.0,2200,Intel
1944,1944,CPU,130.0,89.0,193.0,106.0,2400,AMD
1945,1945,CPU,65.0,45.0,126.0,154.0,2100,AMD
1947,1947,CPU,45.0,45.0,169.0,300.0,2600,AMD
1948,1948,CPU,45.0,2.0,26.0,47.0,1600,Intel
1950,1950,CPU,14.0,51.0,150.0,1400.0,3600,Intel
1954,1954,CPU,65.0,15.0,77.0,122.0,1600,AMD
1955,1955,CPU,45.0,95.0,258.0,758.0,3200,AMD
1956,1956,CPU,32.0,35.0,149.0,624.0,2300,Intel
1958,1958,CPU,90.0,62.0,84.0,63.0,1800,AMD
1959,1959,CPU,32.0,65.0,246.0,1178.0,3600,AMD
1960,1960,CPU,130.0,76.0,131.0,55.0,3200,Intel
1961,1961,CPU,180.0,54.0,120.0,37.0,1000,AMD
1962,1962,CPU,22.0,54.0,177.0,1400.0,3800,Intel
1963,1963,CPU,90.0,62.0,84.0,63.0,2000,AMD
1964,1964,CPU,45.0,1.0,65.0,140.0,1200,Intel
1965,1965,CPU,65.0,65.0,126.0,154.0,2600,AMD
1966,1966,CPU,90.0,62.0,103.0,81.0,2000,AMD
1971,1971,CPU,90.0,62.0,230.0,227.0,2400,AMD
1973,1973,CPU,45.0,80.0,263.0,731.0,2533,Intel
1974,1974,CPU,90.0,135.0,169.0,178.0,3400,Intel
1976,1976,CPU,45.0,95.0,169.0,300.0,3400,AMD
1977,1977,CPU,45.0,2.0,26.0,47.0,1334,Intel
1979,1979,CPU,130.0,110.0,146.0,55.0,2261,Intel
1980,1980,CPU,32.0,35.0,131.0,504.0,2000,Intel
1983,1983,CPU,45.0,125.0,346.0,904.0,2900,AMD
1985,1985,CPU,22.0,45.0,160.0,1400.0,2800,Intel
1986,1986,CPU,45.0,80.0,258.0,758.0,3100,AMD
1987,1987,CPU,45.0,95.0,263.0,731.0,2666,Intel
1988,1988,CPU,45.0,130.0,263.0,731.0,2800,Intel
1989,1989,CPU,32.0,65.0,131.0,504.0,3100,Intel
1990,1990,CPU,22.0,65.0,177.0,1400.0,2800,Intel
1991,1991,CPU,45.0,38.0,263.0,731.0,2000,Intel
1992,1992,CPU,45.0,95.0,258.0,758.0,3200,AMD
1994,1994,CPU,32.0,35.0,228.0,1178.0,1500,AMD
1995,1995,CPU,90.0,115.0,109.0,125.0,3800,Intel
1996,1996,CPU,32.0,130.0,239.0,1170.0,3333,Intel
1998,1998,CPU,12.0,180.0,213.0,19200.0,3500,AMD
2000,2000,CPU,32.0,100.0,246.0,1178.0,3900,AMD
2001,2001,CPU,32.0,65.0,228.0,1178.0,2400,AMD
2002,2002,CPU,130.0,77.0,101.0,63.0,2200,AMD
2004,2004,CPU,65.0,15.0,77.0,122.0,1600,AMD
2005,2005,CPU,22.0,35.0,177.0,1400.0,3200,Intel
2006,2006,CPU,32.0,130.0,239.0,1170.0,3466,Intel
2008,2008,CPU,180.0,38.0,120.0,37.0,650,AMD
2009,2009,CPU,130.0,62.0,144.0,63.0,1800,AMD
2010,2010,CPU,32.0,125.0,315.0,1200.0,3600,AMD
2011,2011,CPU,130.0,89.0,193.0,105.0,2400,AMD
2015,2015,CPU,45.0,4.0,26.0,47.0,1000,Intel
2016,2016,CPU,45.0,65.0,82.0,456.0,2666,Intel
2017,2017,CPU,22.0,47.0,177.0,1400.0,2900,Intel
2018,2018,CPU,45.0,6.0,66.0,123.0,1667,Intel
2019,2019,CPU,32.0,35.0,131.0,504.0,2200,Intel
2020,2020,CPU,28.0,65.0,246.0,1178.0,3200,AMD
2021,2021,CPU,180.0,64.0,150.0,37.0,1467,AMD
2025,2025,CPU,32.0,95.0,216.0,1160.0,3300,Intel
2028,2028,CPU,45.0,5.0,107.0,410.0,1200,Intel
2031,2031,CPU,180.0,64.0,217.0,42.0,1700,Intel
2032,2032,CPU,32.0,125.0,315.0,1200.0,3100,AMD
2033,2033,CPU,7.0,25.0,156.0,9800.0,2300,AMD
2034,2034,CPU,32.0,73.0,81.0,382.0,3200,Intel
2035,2035,CPU,130.0,30.0,131.0,55.0,1800,Intel
2036,2036,CPU,32.0,35.0,131.0,504.0,1600,Intel
2037,2037,CPU,65.0,31.0,90.0,151.0,1660,Intel
2038,2038,CPU,45.0,130.0,263.0,731.0,2533,Intel
2039,2039,CPU,32.0,65.0,246.0,1178.0,3900,AMD
2040,2040,CPU,32.0,80.0,216.0,1160.0,3400,Intel
2041,2041,CPU,130.0,104.0,193.0,105.0,2600,AMD
2042,2042,CPU,32.0,45.0,228.0,1178.0,2200,AMD
2044,2044,CPU,45.0,125.0,258.0,758.0,3200,AMD
2045,2045,CPU,130.0,85.0,193.0,106.0,1600,AMD
2046,2046,CPU,130.0,85.0,193.0,106.0,1400,AMD
2047,2047,CPU,130.0,62.0,80.0,37.0,1500,AMD
2049,2049,CPU,32.0,35.0,131.0,504.0,2000,Intel
2051,2051,CPU,7.0,120.0,74.0,3800.0,2800,AMD
2053,2053,CPU,65.0,65.0,126.0,154.0,2700,AMD
2055,2055,CPU,130.0,110.0,237.0,178.0,3400,Intel
2056,2056,CPU,32.0,18.0,81.0,384.0,1200,Intel
2057,2057,CPU,130.0,110.0,146.0,55.0,2660,Intel
2058,2058,CPU,7.0,105.0,74.0,3800.0,3900,AMD
2060,2060,CPU,180.0,54.0,120.0,37.0,1000,AMD
2062,2062,CPU,45.0,65.0,82.0,228.0,2800,Intel
2064,2064,CPU,90.0,135.0,169.0,178.0,3200,Intel
2065,2065,CPU,22.0,77.0,160.0,1400.0,3500,Intel
2066,2066,CPU,130.0,74.0,80.0,37.0,2250,AMD
2067,2067,CPU,14.0,95.0,192.0,4800.0,3400,AMD
2068,2068,CPU,22.0,69.0,160.0,1400.0,3400,Intel
2069,2069,CPU,45.0,65.0,82.0,228.0,2800,Intel
2071,2071,CPU,90.0,89.0,115.0,105.0,2200,AMD
2072,2072,CPU,12.0,35.0,210.0,4940.0,2100,AMD
2075,2075,CPU,12.0,65.0,192.0,4800.0,2800,AMD
2076,2076,CPU,32.0,73.0,81.0,382.0,3200,Intel
2077,2077,CPU,45.0,80.0,263.0,731.0,2000,Intel
2079,2079,CPU,7.0,155.0,74.0,3800.0,3000,AMD
2081,2081,CPU,32.0,100.0,228.0,1178.0,3000,AMD
2083,2083,CPU,32.0,19.0,246.0,1178.0,1600,AMD
2084,2084,CPU,130.0,68.0,80.0,37.0,2167,AMD
2085,2085,CPU,130.0,35.0,131.0,55.0,2400,Intel
2086,2086,CPU,130.0,62.0,80.0,37.0,1733,AMD
2087,2087,CPU,32.0,35.0,315.0,1200.0,2200,AMD
2088,2088,CPU,45.0,125.0,258.0,758.0,3200,AMD
2089,2089,CPU,32.0,73.0,81.0,382.0,3066,Intel
2090,2090,CPU,65.0,125.0,285.0,450.0,2500,AMD
2091,2091,CPU,65.0,35.0,77.0,105.0,1600,Intel
2092,2092,CPU,90.0,104.0,115.0,114.0,2600,AMD
2095,2095,CPU,32.0,35.0,228.0,1178.0,1500,AMD
2097,2097,CPU,22.0,54.0,177.0,1400.0,3300,Intel
2098,2098,CPU,32.0,17.0,149.0,624.0,1400,Intel
2102,2102,CPU,130.0,89.0,193.0,106.0,2000,AMD
2103,2103,CPU,90.0,73.0,109.0,125.0,2533,Intel
2104,2104,CPU,65.0,19.0,77.0,105.0,1200,Intel
2105,2105,CPU,45.0,95.0,107.0,820.0,2833,Intel
2106,2106,CPU,22.0,15.0,118.0,1300.0,2100,Intel
2107,2107,CPU,7.0,280.0,74.0,3800.0,3800,AMD
2109,2109,CPU,90.0,89.0,220.0,154.0,2600,AMD
2110,2110,CPU,32.0,95.0,315.0,1200.0,3300,AMD
2112,2112,CPU,65.0,65.0,285.0,450.0,1900,AMD
2113,2113,CPU,32.0,60.0,239.0,1170.0,2000,Intel
2115,2115,CPU,45.0,65.0,82.0,456.0,2333,Intel
2116,2116,CPU,7.0,155.0,74.0,3800.0,2400,AMD
2117,2117,CPU,32.0,7.0,66.0,176.0,1867,Intel
2118,2118,CPU,180.0,64.0,217.0,42.0,1700,Intel
2119,2119,CPU,130.0,89.0,144.0,69.0,2000,AMD
2120,2120,CPU,45.0,95.0,296.0,774.0,2800,Intel
2122,2122,CPU,45.0,95.0,296.0,774.0,2933,Intel
2123,2123,CPU,12.0,15.0,210.0,4940.0,2100,AMD
2124,2124,CPU,32.0,10.0,66.0,176.0,1867,Intel
2125,2125,CPU,90.0,89.0,156.0,154.0,2000,AMD
2126,2126,CPU,32.0,35.0,149.0,624.0,2200,Intel
2127,2127,CPU,7.0,54.0,156.0,9800.0,3000,AMD
2130,2130,CPU,32.0,35.0,81.0,382.0,2533,Intel
2131,2131,CPU,130.0,82.0,193.0,106.0,1600,AMD
2133,2133,CPU,32.0,80.0,239.0,1170.0,2133,Intel
2136,2136,CPU,90.0,67.0,83.0,69.0,1800,AMD
2139,2139,CPU,65.0,5.0,90.0,151.0,1066,Intel
2140,2140,CPU,90.0,62.0,103.0,81.0,2000,AMD
2141,2141,CPU,130.0,82.0,193.0,106.0,1800,AMD
2142,2142,CPU,22.0,12.0,118.0,1400.0,1100,Intel
2143,2143,CPU,45.0,130.0,263.0,731.0,3333,Intel
2144,2144,CPU,90.0,62.0,84.0,63.0,1800,AMD
2146,2146,CPU,7.0,35.0,156.0,9800.0,3000,AMD
2147,2147,CPU,130.0,85.0,193.0,106.0,1400,AMD
2148,2148,CPU,22.0,17.0,118.0,1400.0,1800,Intel
2149,2149,CPU,32.0,95.0,315.0,1200.0,3800,AMD
2151,2151,CPU,14.0,170.0,213.0,4800.0,2400,AMD
2154,2154,CPU,12.0,105.0,192.0,4800.0,3700,AMD
2156,2156,CPU,90.0,27.0,84.0,140.0,1860,Intel
2157,2157,CPU,45.0,45.0,117.0,410.0,2600,AMD
2158,2158,CPU,32.0,35.0,81.0,384.0,2133,Intel
2159,2159,CPU,22.0,69.0,160.0,1400.0,3300,Intel
2160,2160,CPU,22.0,37.0,118.0,1300.0,2900,Intel
2164,2164,CPU,65.0,35.0,143.0,293.0,2166,Intel
2167,2167,CPU,45.0,125.0,258.0,758.0,3000,AMD
2169,2169,CPU,90.0,35.0,125.0,114.0,1600,AMD
2171,2171,CPU,22.0,47.0,264.0,1400.0,1800,Intel
2175,2175,CPU,45.0,1.0,65.0,140.0,900,Intel
2176,2176,CPU,32.0,65.0,315.0,1200.0,3000,AMD
2178,2178,CPU,90.0,130.0,206.0,169.0,2800,Intel
2179,2179,CPU,90.0,135.0,135.0,155.0,2800,Intel
2180,2180,CPU,7.0,155.0,74.0,3800.0,3100,AMD
