,Unnamed: 0.1,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor
1140,1140,CPU,22.0,80.0,160.0,1400.0,2600,Intel
1141,1141,CPU,45.0,65.0,104.0,410.0,2667,Intel
1142,1142,CPU,32.0,35.0,131.0,504.0,2400,Intel
1143,1143,CPU,45.0,5.0,107.0,410.0,1400,Intel
1145,1145,CPU,14.0,35.0,192.0,4800.0,3400,AMD
1147,1147,CPU,130.0,25.0,144.0,69.0,1600,AMD
1148,1148,CPU,45.0,95.0,169.0,300.0,2700,AMD
1150,1150,CPU,90.0,59.0,1.0,154.0,2600,AMD
1153,1153,CPU,90.0,135.0,135.0,155.0,3400,Intel
1156,1156,CPU,45.0,95.0,169.0,300.0,3100,AMD
1158,1158,CPU,12.0,65.0,210.0,49.0,3600,AMD
1160,1160,CPU,28.0,45.0,246.0,1178.0,3500,AMD
1161,1161,CPU,14.0,125.0,213.0,9600.0,3100,AMD
1163,1163,CPU,90.0,35.0,220.0,154.0,2000,AMD
1169,1169,CPU,32.0,95.0,435.0,2270.0,2200,Intel
1170,1170,CPU,65.0,35.0,143.0,293.0,2600,Intel
1171,1171,CPU,130.0,85.0,193.0,106.0,1800,AMD
1172,1172,CPU,130.0,24.0,100.0,77.0,1700,Intel
1173,1173,CPU,22.0,140.0,160.0,1400.0,2100,Intel
1174,1174,CPU,45.0,45.0,169.0,300.0,2200,AMD
1177,1177,CPU,45.0,65.0,82.0,228.0,2600,Intel
1178,1178,CPU,130.0,82.0,193.0,106.0,1400,AMD
1179,1179,CPU,45.0,45.0,117.0,234.0,2800,AMD
1180,1180,CPU,90.0,27.0,84.0,140.0,1600,Intel
1181,1181,CPU,45.0,7.0,26.0,47.0,1300,Intel
1182,1182,CPU,130.0,73.0,146.0,55.0,2000,Intel
1183,1183,CPU,130.0,97.0,237.0,286.0,3066,Intel
1185,1185,CPU,130.0,82.0,193.0,106.0,1600,AMD
1186,1186,CPU,32.0,95.0,239.0,1170.0,2666,Intel
1188,1188,CPU,32.0,65.0,228.0,1178.0,2500,AMD
1189,1189,CPU,32.0,125.0,315.0,1200.0,3600,AMD
1190,1190,CPU,32.0,130.0,513.0,2600.0,2000,Intel
1191,1191,CPU,90.0,65.0,220.0,154.0,2000,AMD
1192,1192,CPU,32.0,40.0,239.0,1170.0,2133,Intel
1193,1193,CPU,65.0,5.0,90.0,151.0,1333,Intel
1194,1194,CPU,90.0,84.0,109.0,125.0,2800,Intel
1195,1195,CPU,65.0,35.0,77.0,105.0,2000,Intel
1197,1197,CPU,45.0,3.0,65.0,140.0,1200,Intel
1198,1198,CPU,32.0,100.0,246.0,1178.0,4100,AMD
1199,1199,CPU,32.0,100.0,246.0,1178.0,4000,AMD
1200,1200,CPU,90.0,84.0,109.0,125.0,2930,Intel
1203,1203,CPU,90.0,21.0,84.0,140.0,2000,Intel
1204,1204,CPU,130.0,82.0,193.0,106.0,1600,AMD
1205,1205,CPU,28.0,65.0,246.0,1178.0,3800,AMD
1206,1206,CPU,130.0,62.0,101.0,63.0,1500,AMD
1208,1208,CPU,22.0,37.0,118.0,1400.0,2400,Intel
1211,1211,CPU,32.0,65.0,246.0,1178.0,3200,AMD
1213,1213,CPU,130.0,35.0,193.0,106.0,1800,AMD
1214,1214,CPU,45.0,95.0,263.0,731.0,2933,Intel
1217,1217,CPU,45.0,130.0,263.0,731.0,3200,Intel
1218,1218,CPU,90.0,104.0,115.0,114.0,2800,AMD
1219,1219,CPU,32.0,35.0,246.0,1178.0,2700,AMD
1221,1221,CPU,45.0,65.0,107.0,420.0,2667,Intel
1222,1222,CPU,65.0,95.0,285.0,450.0,2300,AMD
1224,1224,CPU,28.0,65.0,246.0,1178.0,3800,AMD
1225,1225,CPU,130.0,50.0,80.0,37.0,1467,AMD
1226,1226,CPU,90.0,35.0,103.0,81.0,2000,AMD
1227,1227,CPU,32.0,65.0,131.0,504.0,2700,Intel
1232,1232,CPU,45.0,65.0,82.0,228.0,2933,Intel
1233,1233,CPU,22.0,65.0,160.0,1480.0,2700,Intel
1236,1236,CPU,90.0,84.0,109.0,169.0,3200,Intel
1237,1237,CPU,14.0,35.0,192.0,4800.0,3400,AMD
1240,1240,CPU,45.0,125.0,258.0,758.0,3500,AMD
1242,1242,CPU,45.0,80.0,263.0,731.0,2133,Intel
1243,1243,CPU,14.0,51.0,150.0,1400.0,3700,Intel
1244,1244,CPU,7.0,280.0,74.0,3800.0,2700,AMD
1245,1245,CPU,90.0,84.0,109.0,125.0,2933,Intel
1246,1246,CPU,45.0,25.0,117.0,410.0,2000,AMD
1247,1247,CPU,90.0,67.0,84.0,69.0,1800,AMD
1248,1248,CPU,32.0,60.0,239.0,1170.0,2266,Intel
1250,1250,CPU,28.0,6.0,124.0,1200.0,1600,AMD
1253,1253,CPU,130.0,82.0,193.0,106.0,1800,AMD
1254,1254,CPU,32.0,35.0,131.0,504.0,1800,Intel
1255,1255,CPU,90.0,62.0,103.0,81.0,1600,AMD
1256,1256,CPU,90.0,65.0,220.0,154.0,2600,AMD
1260,1260,CPU,90.0,115.0,109.0,125.0,3600,Intel
1261,1261,CPU,90.0,45.0,230.0,227.0,2600,AMD
1262,1262,CPU,90.0,89.0,199.0,233.0,2200,AMD
1263,1263,CPU,65.0,95.0,435.0,1328.0,3000,Intel
1265,1265,CPU,22.0,54.0,177.0,1400.0,3700,Intel
1268,1268,CPU,45.0,95.0,258.0,758.0,2600,AMD
1271,1271,CPU,130.0,24.0,100.0,77.0,1300,Intel
1272,1272,CPU,7.0,95.0,74.0,3800.0,3800,AMD
1273,1273,CPU,90.0,84.0,109.0,125.0,2933,Intel
1278,1278,CPU,45.0,45.0,117.0,410.0,2800,AMD
1279,1279,CPU,32.0,45.0,228.0,1178.0,1900,AMD
1280,1280,CPU,45.0,95.0,82.0,456.0,2666,Intel
1283,1283,CPU,22.0,115.0,160.0,1400.0,2800,Intel
1284,1284,CPU,90.0,67.0,84.0,69.0,2400,AMD
1285,1285,CPU,90.0,65.0,220.0,154.0,2400,AMD
1288,1288,CPU,32.0,115.0,315.0,2400.0,2500,AMD
1289,1289,CPU,45.0,95.0,169.0,300.0,2800,AMD
1290,1290,CPU,65.0,65.0,126.0,154.0,2200,AMD
1292,1292,CPU,90.0,88.0,112.0,125.0,3334,Intel
1293,1293,CPU,130.0,110.0,146.0,55.0,2400,Intel
1294,1294,CPU,45.0,45.0,169.0,300.0,2600,AMD
1295,1295,CPU,45.0,82.0,296.0,774.0,2400,Intel
1296,1296,CPU,45.0,95.0,346.0,904.0,2700,AMD
1298,1298,CPU,22.0,15.0,118.0,1400.0,1700,Intel
1299,1299,CPU,65.0,45.0,126.0,154.0,2500,AMD
1300,1300,CPU,32.0,65.0,131.0,504.0,3400,Intel
1301,1301,CPU,22.0,54.0,177.0,1400.0,2700,Intel
1304,1304,CPU,130.0,85.0,193.0,106.0,1800,AMD
1305,1305,CPU,22.0,130.0,160.0,1400.0,3500,Intel
1306,1306,CPU,22.0,15.0,118.0,1400.0,1400,Intel
1307,1307,CPU,45.0,65.0,258.0,758.0,2500,AMD
1308,1308,CPU,45.0,2.0,26.0,47.0,1334,Intel
1310,1310,CPU,130.0,62.0,80.0,37.0,1833,AMD
1311,1311,CPU,180.0,29.0,80.0,44.0,1133,Intel
1312,1312,CPU,32.0,65.0,131.0,504.0,3300,Intel
1313,1313,CPU,90.0,135.0,169.0,178.0,3600,Intel
1314,1314,CPU,32.0,65.0,131.0,504.0,2600,Intel
1315,1315,CPU,22.0,115.0,160.0,1400.0,2000,Intel
1316,1316,CPU,22.0,115.0,160.0,1400.0,1900,Intel
1317,1317,CPU,22.0,47.0,264.0,1400.0,2500,Intel
1318,1318,CPU,90.0,62.0,103.0,81.0,1800,AMD
1319,1319,CPU,45.0,95.0,169.0,300.0,2900,AMD
1320,1320,CPU,22.0,77.0,160.0,1400.0,3200,Intel
1323,1323,CPU,90.0,84.0,109.0,169.0,3800,Intel
1324,1324,CPU,32.0,95.0,315.0,1200.0,3300,AMD
1325,1325,CPU,90.0,89.0,156.0,154.0,2000,AMD
1327,1327,CPU,130.0,35.0,193.0,106.0,1600,AMD
1328,1328,CPU,22.0,70.0,160.0,1400.0,1700,Intel
1329,1329,CPU,32.0,87.0,81.0,382.0,3333,Intel
1330,1330,CPU,90.0,89.0,83.0,69.0,2400,AMD
1332,1332,CPU,32.0,95.0,315.0,1200.0,3600,AMD
1334,1334,CPU,32.0,73.0,81.0,382.0,2800,Intel
1335,1335,CPU,130.0,62.0,101.0,63.0,1583,AMD
1336,1336,CPU,32.0,95.0,315.0,1200.0,3600,AMD
1337,1337,CPU,45.0,95.0,258.0,758.0,2800,AMD
1338,1338,CPU,130.0,85.0,193.0,106.0,1600,AMD
1339,1339,CPU,7.0,280.0,74.0,3800.0,3500,AMD
1340,1340,CPU,65.0,65.0,111.0,167.0,2600,Intel
1341,1341,CPU,32.0,35.0,149.0,624.0,2200,Intel
1342,1342,CPU,45.0,95.0,296.0,774.0,2933,Intel
1343,1343,CPU,32.0,8.0,246.0,1178.0,1000,AMD
1344,1344,CPU,65.0,130.0,140.0,376.0,3600,Intel
1346,1346,CPU,130.0,85.0,193.0,106.0,1600,AMD
1347,1347,CPU,65.0,27.0,90.0,151.0,1833,Intel
1348,1348,CPU,90.0,89.0,199.0,233.0,2400,AMD
1349,1349,CPU,32.0,35.0,228.0,1178.0,1900,AMD
1350,1350,CPU,12.0,65.0,192.0,4800.0,3100,AMD
1352,1352,CPU,22.0,28.0,118.0,1300.0,2800,Intel
1353,1353,CPU,22.0,55.0,160.0,1400.0,3000,Intel
1355,1355,CPU,45.0,130.0,263.0,731.0,2400,Intel
1356,1356,CPU,90.0,51.0,84.0,69.0,2000,AMD
1358,1358,CPU,130.0,110.0,237.0,178.0,3400,Intel
1360,1360,CPU,65.0,95.0,285.0,450.0,2100,AMD
1361,1361,CPU,32.0,73.0,81.0,382.0,2933,Intel
1362,1362,CPU,32.0,100.0,228.0,1178.0,2800,AMD
1363,1363,CPU,90.0,62.0,84.0,63.0,2000,AMD
