,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
202,GPU,16.0,250.0,471.0,11800.0,1025,NVIDIA,179.2,11470.0,358.3
203,GPU,14.0,50.0,103.0,2200.0,980,AMD,1121.0,1121.0,70.08
204,GPU,28.0,15.0,125.0,1200.0,200,AMD,691.2,691.2,345.6
205,GPU,14.0,185.0,232.0,5700.0,1257,AMD,6175.0,6175.0,385.9
206,GPU,12.0,90.0,445.0,10800.0,1410,NVIDIA,5699.0,2849.0,89.04
209,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
210,GPU,14.0,15.0,210.0,4940.0,300,AMD,1843.0,921.6,57.6
211,GPU,14.0,15.0,210.0,4940.0,300,AMD,1691.0,845.6,52.85
212,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1151.0,1151.0,71.94
213,GPU,12.0,80.0,445.0,10800.0,945,NVIDIA,10600.0,5299.0,165.6
214,GPU,7.0,150.0,251.0,10300.0,1035,AMD,11660.0,5829.0,364.3
215,GPU,14.0,75.0,123.0,3000.0,1090,AMD,2150.0,2150.0,134.4
216,GPU,14.0,47.0,132.0,3300.0,1266,NVIDIA,29.6,1894.0,59.2
217,GPU,12.0,125.0,284.0,6600.0,1530,NVIDIA,10050.0,5027.0,157.1
218,GPU,16.0,120.0,200.0,4400.0,1506,NVIDIA,68.36,4375.0,136.7
219,GPU,7.0,85.0,158.0,6400.0,1000,AMD,9574.0,4787.0,299.2
220,GPU,12.0,160.0,545.0,13600.0,1365,NVIDIA,12900.0,6451.0,201.6
221,GPU,14.0,10.0,74.0,1800.0,937,NVIDIA,12.46,797.2,24.91
222,GPU,16.0,100.0,314.0,7200.0,1557,NVIDIA,139.8,8945.0,279.5
223,GPU,8.0,320.0,628.0,28300.0,1440,NVIDIA,29770.0,29770.0,465.1
224,GPU,12.0,115.0,545.0,13600.0,1140,NVIDIA,14130.0,7066.0,220.8
225,GPU,12.0,175.0,445.0,10800.0,1470,NVIDIA,14360.0,7181.0,224.4
226,GPU,12.0,150.0,545.0,13600.0,1380,NVIDIA,18720.0,9362.0,292.6
227,GPU,14.0,65.0,123.0,3000.0,1090,AMD,2106.0,2106.0,131.6
228,GPU,14.0,65.0,123.0,3000.0,1175,AMD,2462.0,2462.0,153.9
230,GPU,28.0,100.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
231,GPU,28.0,190.0,366.0,5000.0,970,AMD,3973.0,3973.0,248.3
233,GPU,14.0,150.0,232.0,5700.0,1168,AMD,5259.0,5259.0,328.7
234,GPU,14.0,85.0,232.0,5700.0,926,AMD,4940.0,4940.0,308.7
235,GPU,28.0,250.0,366.0,5000.0,850,AMD,3482.0,3482.0,217.6
236,GPU,7.0,110.0,158.0,6400.0,1500,AMD,10390.0,5196.0,324.7
237,GPU,14.0,75.0,132.0,3300.0,1392,NVIDIA,36.43,2332.0,72.86
238,GPU,16.0,75.0,200.0,4400.0,1076,NVIDIA,47.36,3031.0,94.72
239,GPU,14.0,50.0,123.0,3000.0,1002,AMD,2460.0,2460.0,153.7
241,GPU,7.0,15.0,156.0,9800.0,400,AMD,2867.0,1434.0,89.6
242,GPU,12.0,80.0,545.0,13600.0,930,NVIDIA,11830.0,5914.0,184.8
244,GPU,16.0,75.0,200.0,4400.0,1291,NVIDIA,46.48,2974.0,92.95
245,GPU,14.0,15.0,210.0,4940.0,300,AMD,1691.0,845.6,52.85
247,GPU,14.0,75.0,123.0,3000.0,850,AMD,1306.0,1306.0,81.6
248,GPU,14.0,50.0,123.0,3000.0,1090,AMD,2150.0,2150.0,134.4
249,GPU,14.0,130.0,232.0,5700.0,1120,AMD,5700.0,5700.0,356.3
251,GPU,14.0,15.0,210.0,4940.0,300,AMD,3584.0,1792.0,112.0
252,GPU,14.0,100.0,232.0,5700.0,1000,AMD,4963.0,4963.0,310.2
253,GPU,14.0,18.0,74.0,1800.0,1303,NVIDIA,17.92,1147.0,35.83
256,GPU,28.0,75.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
257,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
258,GPU,14.0,175.0,232.0,5700.0,1257,AMD,6359.0,6359.0,397.4
259,GPU,14.0,10.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
260,GPU,12.0,50.0,200.0,4700.0,1065,NVIDIA,5000.0,2500.0,78.12
262,GPU,14.0,18.0,74.0,1800.0,1455,NVIDIA,12.14,777.2,24.29
263,GPU,12.0,75.0,200.0,4700.0,1485,NVIDIA,5967.0,2984.0,93.24
265,GPU,12.0,185.0,445.0,10800.0,1470,NVIDIA,15210.0,7603.0,237.6
266,GPU,14.0,75.0,132.0,3300.0,1493,NVIDIA,38.88,2488.0,77.76
269,GPU,12.0,125.0,284.0,6600.0,1530,NVIDIA,10050.0,5027.0,157.1
271,GPU,14.0,75.0,132.0,3300.0,1354,NVIDIA,29.1,1862.0,58.2
272,GPU,28.0,75.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
273,GPU,20.0,15.0,118.0,2000.0,384,NVIDIA,786.4,393.2,12.29
274,GPU,16.0,90.0,314.0,7200.0,1012,NVIDIA,96.38,6169.0,192.8
275,GPU,16.0,250.0,471.0,11800.0,1481,NVIDIA,177.2,11340.0,354.4
276,GPU,14.0,100.0,232.0,5700.0,1000,AMD,4963.0,4963.0,310.2
277,GPU,14.0,15.0,210.0,4940.0,300,AMD,1966.0,983.0,61.44
278,GPU,14.0,65.0,123.0,3000.0,1275,AMD,2611.0,2611.0,163.2
280,GPU,28.0,275.0,596.0,8900.0,1000,AMD,7168.0,7168.0,448.0
281,GPU,16.0,75.0,314.0,7200.0,1139,NVIDIA,78.62,5032.0,157.2
282,GPU,14.0,75.0,123.0,3000.0,1175,AMD,2611.0,2611.0,163.2
283,GPU,14.0,65.0,123.0,3000.0,1223,AMD,2192.0,2192.0,137.0
284,GPU,14.0,65.0,210.0,4940.0,300,AMD,2255.0,1127.0,70.46
285,GPU,12.0,115.0,445.0,10800.0,1260,NVIDIA,13410.0,6705.0,209.5
286,GPU,14.0,40.0,132.0,3300.0,1266,NVIDIA,21.66,1386.0,43.33
287,GPU,14.0,65.0,123.0,3000.0,1275,AMD,2611.0,2611.0,163.2
288,GPU,7.0,180.0,251.0,10300.0,1465,AMD,15900.0,7949.0,496.8
289,GPU,14.0,150.0,232.0,5700.0,1000,AMD,3960.0,3960.0,247.5
291,GPU,16.0,120.0,200.0,4400.0,1506,NVIDIA,68.36,4375.0,136.7
292,GPU,14.0,15.0,210.0,4940.0,300,AMD,3942.0,1971.0,123.2
294,GPU,14.0,65.0,208.0,5000.0,931,AMD,2588.0,2588.0,161.8
298,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
299,GPU,14.0,65.0,123.0,3000.0,1090,AMD,2462.0,2462.0,153.9
300,GPU,14.0,50.0,103.0,2200.0,1082,AMD,1247.0,1247.0,77.95
301,GPU,16.0,250.0,471.0,11800.0,1557,NVIDIA,167.0,10690.0,334.0
302,GPU,8.0,170.0,276.0,13250.0,1320,NVIDIA,12740.0,12740.0,199.0
303,GPU,12.0,115.0,445.0,10800.0,960,NVIDIA,9216.0,4608.0,144.0
305,GPU,12.0,215.0,545.0,13600.0,1605,NVIDIA,18120.0,9062.0,283.2
306,GPU,14.0,60.0,123.0,3000.0,1019,AMD,1371.0,1371.0,85.68
307,GPU,14.0,150.0,232.0,5700.0,1120,AMD,5834.0,5834.0,364.6
308,GPU,7.0,25.0,156.0,9800.0,300,AMD,3226.0,1613.0,100.8
309,GPU,14.0,10.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
310,GPU,12.0,50.0,200.0,4700.0,1350,NVIDIA,6083.0,3041.0,95.04
312,GPU,14.0,50.0,123.0,3000.0,1002,AMD,1348.0,1348.0,84.24
313,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1647.0,1647.0,103.0
314,GPU,12.0,260.0,754.0,18600.0,1230,NVIDIA,29860.0,14930.0,466.6
315,GPU,14.0,15.0,210.0,4940.0,300,AMD,2560.0,1280.0,80.0
316,GPU,14.0,15.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
317,GPU,12.0,215.0,545.0,13600.0,1515,NVIDIA,20140.0,10070.0,314.6
319,GPU,14.0,75.0,132.0,3300.0,1366,NVIDIA,34.61,2215.0,69.22
320,GPU,14.0,65.0,103.0,2200.0,1082,AMD,1385.0,1385.0,86.56
321,GPU,12.0,30.0,200.0,4700.0,1020,NVIDIA,5100.0,2550.0,79.68
322,GPU,16.0,150.0,314.0,7200.0,1506,NVIDIA,101.0,6463.0,202.0
323,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
324,GPU,14.0,150.0,232.0,5700.0,1096,AMD,4489.0,4489.0,280.6
325,GPU,14.0,65.0,103.0,2200.0,1295,AMD,1658.0,1658.0,103.6
326,GPU,7.0,100.0,197.0,8000.0,1565,AMD,8013.0,4006.0,250.4
327,GPU,14.0,50.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
328,GPU,7.0,125.0,158.0,6400.0,1744,AMD,10450.0,5224.0,326.5
329,GPU,14.0,15.0,210.0,4940.0,300,AMD,2458.0,1229.0,76.8
330,GPU,16.0,115.0,314.0,7200.0,1215,NVIDIA,88.26,5648.0,176.5
331,GPU,12.0,40.0,200.0,4700.0,1200,NVIDIA,6636.0,3318.0,103.7
333,GPU,14.0,50.0,103.0,2200.0,1082,AMD,1240.0,1240.0,77.5
334,GPU,7.0,180.0,251.0,10300.0,1465,AMD,15850.0,7926.0,495.4
335,GPU,14.0,15.0,210.0,4940.0,300,AMD,2458.0,1229.0,76.8
337,GPU,8.0,80.0,276.0,13250.0,900,NVIDIA,10940.0,10940.0,171.0
338,GPU,28.0,15.0,125.0,1200.0,200,AMD,325.2,325.2,20.33
339,GPU,12.0,115.0,445.0,10800.0,900,NVIDIA,10370.0,5184.0,162.0
340,GPU,14.0,35.0,210.0,4940.0,300,AMD,2255.0,1127.0,70.46
341,GPU,12.0,18.0,200.0,4700.0,1365,NVIDIA,6075.0,3037.0,94.92
344,GPU,28.0,15.0,125.0,1200.0,200,AMD,553.0,553.0,276.5
345,GPU,14.0,50.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
346,GPU,14.0,50.0,123.0,3000.0,1125,AMD,2460.0,2460.0,153.7
347,GPU,14.0,10.0,74.0,1800.0,1519,NVIDIA,12.25,783.9,24.5
348,GPU,12.0,260.0,754.0,18600.0,1065,NVIDIA,25710.0,12860.0,401.8
349,GPU,12.0,80.0,284.0,6600.0,1410,NVIDIA,5699.0,2849.0,89.04
351,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
352,GPU,12.0,110.0,545.0,13600.0,1035,NVIDIA,18980.0,9492.0,296.6
353,GPU,14.0,150.0,232.0,5700.0,1096,AMD,4489.0,4489.0,280.6
354,GPU,8.0,320.0,628.0,28300.0,1440,NVIDIA,29770.0,29770.0,465.1
